experiment,path,run,size_bytes,step
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_2000.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,2000
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_2200.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,2200
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_2400.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,2400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_2600.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,2600
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_2800.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,2800
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_3000.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,3000
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_3200.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,3200
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_3400.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,3400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_3600.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,3600
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_3800.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,3800
